symbol,longName,industry,totalDebt_usd,Agency Rating
PRMB,Primo Brands Corp.,Beverages - Non-Alcoholic,,BB-
CELH,Celsius Holdings Inc.,Beverages - Non-Alcoholic,,BB-
GMAB,Genmab A/S,Biotechnology,"5,351,000,064",BB+
ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology,"2,970,230,016",BB+
REGN,"Regeneron Pharmaceuticals, Inc.",Biotechnology,"2,706,200,064",BBB+
VRTX,Vertex Pharmaceuticals Incorporated,Biotechnology,"1,986,499,968",BBB-
BMRN,BioMarin Pharmaceutical Inc.,Biotechnology,"1,439,601,024",BB+
MLM,"Martin Marietta Materials, Inc.",Building Materials,"5,688,000,000",BBB+
VMC,Vulcan Materials Company,Building Materials,"5,191,300,096",BBB+
JHX,James Hardie Industries plc,Building Materials,"4,889,200,128",BB+
EXP,Eagle Materials Inc.,Building Materials,"1,796,784,000",BBB
CRH,CRH plc,Building Materials,,BBB+
HCMLY,Holcim AG,Building Materials,,BBB+
HDLMY,Heidelberg Materials AG,Building Materials,,BBB
AMRZ,Amrize Ltd,Building Materials,,BBB+
CX,"CEMEX, S.A.B.",Building Materials,,BBB-
AHCHY,Anhui Conch Cement Company Limited,Building Materials,,A
TTCIF,Titan S.A.,Building Materials,,BB+
KNF,Knife River Corporation,Building Materials,,BB+
GCWOF,"GCC, S.A.B.",Building Materials,,BBB
WBRBY,Wienerberger AG,Building Materials,,BBB-
JCI,Johnson Controls International plc,Building Products & Equipment,"9,523,000,320",BBB+
OC,Owens Corning,Building Products & Equipment,"6,023,000,064",BBB
MAS,Masco Corporation,Building Products & Equipment,"3,302,000,128",BBB
CSL,Carlisle Companies Incorporated,Building Products & Equipment,"2,888,600,064",BBB
WMS,"Advanced Drainage Systems, Inc.",Building Products & Equipment,"1,846,093,056",BB
ROCK,"Gibraltar Industries, Inc.",Building Products & Equipment,"1,374,199,040",BB-
AWI,"Armstrong World Industries, Inc.",Building Products & Equipment,"570,600,000",BB
DOW,Dow Inc.,Chemicals,"19,634,999,296",BBB-
CE,Celanese Corporation,Chemicals,"12,904,999,936",BB
SHWDF,Resonac Holdings Corporation,Chemicals,"6,001,071,574",A+
TROX,Tronox Holdings plc,Chemicals,"3,513,999,872",CCC+
MEOH,Methanex Corporation,Chemicals,"3,453,582,080",BB
OLN,Olin Corporation,Chemicals,"3,310,899,968",BB+
HUN,Huntsman Corporation,Chemicals,"2,487,000,064",BB
BASFY,BASF SE,Chemicals,,A-
SVYSF,Solvay SA,Chemicals,,BBB-
GPRE,Green Plains Inc.,Chemicals,,B
HPE,Hewlett Packard Enterprise Company,Communication Equipment,"21,304,000,512",BBB
MSI,"Motorola Solutions, Inc.",Communication Equipment,"9,589,000,192",BBB
VSAT,"Viasat, Inc.",Communication Equipment,"6,939,566,080",B
NOK,Nokia Oyj,Communication Equipment,"3,835,063,461",BBB-
LITE,Lumentum Holdings Inc.,Communication Equipment,"3,313,700,096",B+
ZBRA,Zebra Technologies Corporation,Communication Equipment,"2,848,999,936",BB+
CIEN,Ciena Corporation,Communication Equipment,"1,580,579,968",BB+
BDC,Belden Inc.,Communication Equipment,"1,377,171,968",BB
VIAV,Viavi Solutions Inc.,Communication Equipment,"1,136,499,968",B+
CSCO,Cisco Systems,Communication Equipment,,AA-
HPQ,HP Inc.,Computer Hardware,"10,864,000,000",BBB
CAJPY,Canon Inc.,Computer Hardware,"7,683,401,588",A
LNVGY,Lenovo Group Limited,Computer Hardware,"5,156,451,840",BBB
STX,Seagate Technology Holdings plc,Computer Hardware,"4,177,999,872",BB+
SNDK,Sandisk Corporation,Computer Hardware,,BB+
DELL,Dell Technologies,Computer Hardware,,BBB+
MDLZ,"Mondelez International, Inc.",Confectioners,"21,621,999,616",BBB
HSY,The Hershey Company,Confectioners,"5,681,147,904",A
BYCBF,Barry Callebaut AG,Confectioners,,BBB-
EFX,Equifax Inc.,Consulting Services,"5,308,100,096",BBB
VRSK,"Verisk Analytics, Inc.",Consulting Services,"4,625,200,128",BBB
BAH,Booz Allen Hamilton Holding Corporation,Consulting Services,"4,121,999,872",BBB-
EXPGF,Experian plc,Consulting Services,,A-
SGSOY,SGS SA,Consulting Services,,A-
AAPL,Apple Inc.,Consumer Electronics,"84,710,998,016",AA+
TCLHF,TCL Electronics Holdings Limited,Consumer Electronics,"923,402,925",BBB-
SONY,Sony Group Corporation,Consumer Electronics,,A+
PCRFF,Panasonic Holdings Corporation,Consumer Electronics,,A-
FCX,Freeport-McMoRan Inc.,Copper,"10,401,000,448",BBB
SCCO,Southern Copper Corporation,Copper,"7,401,699,840",BBB+
ANFGF,Antofagasta plc,Copper,,BBB+
LUNMF,Lundin Mining,Copper,,BB
FQVLF,First Quantum Minerals,Copper,,B
HBM,Hudbay Minerals,Copper,,BB-
CSCCF,Capstone Copper Corp.,Copper,,BB-
ERO,Ero Copper Corp.,Copper,,B
TGB,Taseko Mines,Copper,,B-
KSS,Kohl's Corporation,Department Stores,"6,533,000,192",B+
M,"Macy's, Inc.",Department Stores,"5,109,000,192",BB+
MAKSY,Marks and Spencer Group plc,Department Stores,"4,579,620,450",BBB-
JFROF,"J. Front Retailing Co., Ltd.",Department Stores,"2,097,376,098",A+
DDS,"Dillard's, Inc.",Department Stores,,BBB-
TMO,Thermo Fisher Scientific Inc.,Diagnostics & Research,"43,161,001,984",A-
DHR,Danaher Corporation,Diagnostics & Research,"19,683,999,744",A-
LH,Labcorp Holdings Inc.,Diagnostics & Research,"7,294,400,000",BBB
DGX,Quest Diagnostics Incorporated,Diagnostics & Research,"6,408,000,000",BBB+
LZAGF,Lonza Group AG,Diagnostics & Research,"5,851,675,638",BBB+
WAT,Waters Corporation,Diagnostics & Research,"5,601,999,872",BBB
ICLR,ICON Public Limited Company,Diagnostics & Research,"3,555,781,888",BBB-
A,"Agilent Technologies, Inc.",Diagnostics & Research,"3,542,000,128",BBB+
CRL,"Charles River Laboratories International, Inc.",Diagnostics & Research,"3,064,531,968",BB+
ILMN,"Illumina, Inc.",Diagnostics & Research,"2,544,000,000",BBB
WMT,Walmart Inc.,Discount Stores,"75,545,001,984",AA
TGT,Target Corporation,Discount Stores,"19,271,999,488",A
DG,Dollar General Corporation,Discount Stores,"15,798,401,024",BBB
COST,Costco Wholesale Corporation,Discount Stores,"10,227,999,744",AA
DLTR,"Dollar Tree, Inc.",Discount Stores,"7,593,299,968",BBB
DLMAF,Dollarama Inc.,Discount Stores,,BBB
BJ,"BJ's Wholesale Club Holdings, Inc.",Discount Stores,,BB+
ABBV,AbbVie Inc.,Drug Manufacturers - General,"72,912,003,072",A-
PFE,Pfizer Inc.,Drug Manufacturers - General,"64,731,000,832",A
AMGN,Amgen Inc.,Drug Manufacturers - General,"57,322,999,808",BBB+
JNJ,Johnson & Johnson,Drug Manufacturers - General,"54,987,001,856",AAA
MRK,"Merck & Co., Inc.",Drug Manufacturers - General,"49,116,999,680",A+
NVS,Novartis AG,Drug Manufacturers - General,"46,997,999,616",AA-
LLY,Eli Lilly and Company,Drug Manufacturers - General,"43,370,000,384",AA-
AZN,AstraZeneca PLC,Drug Manufacturers - General,"34,029,000,704",A+
GSK,GSK plc,Drug Manufacturers - General,"25,534,074,934",A
NVO,Novo Nordisk A/S,Drug Manufacturers - General,"22,586,119,462",AA
GILD,"Gilead Sciences, Inc.",Drug Manufacturers - General,"22,173,999,104",A-
GRFS,"Grifols, S.A.",Drug Manufacturers - General,"11,152,249,641",BB-
BIIB,Biogen Inc.,Drug Manufacturers - General,"6,561,900,032",BBB+
OTSKY,"Otsuka Holdings Co., Ltd.",Drug Manufacturers - General,"1,212,463,029",AA-
TEVA,Teva Pharmaceutical Industries Limited,Drug Manufacturers - Specialty & Generic,"16,924,999,680",BB+
ZTS,Zoetis Inc.,Drug Manufacturers - Specialty & Generic,"9,253,999,616",BBB+
PRGO,Perrigo Company plc,Drug Manufacturers - Specialty & Generic,"3,828,699,904",BB-
HKMPF,Hikma Pharmaceuticals PLC,Drug Manufacturers - Specialty & Generic,"1,604,000,000",BBB
EBS,Emergent BioSolutions Inc.,Drug Manufacturers - Specialty & Generic,"584,600,000",B-
MKGAF,Merck KGaA,Drug Manufacturers - Specialty & Generic,,BBB+
ENR,"Energizer Holdings, Inc.",Electrical Equipment & Parts,"3,406,599,936",B+
