symbol,longName,industry,totalDebt_usd,Agency Rating
CMI,Cummins Inc.,Specialty Industrial Machinery,"8,240,000,000",A
IR,Ingersoll Rand Inc.,Specialty Industrial Machinery,"4,951,199,744",BBB
ROK,"Rockwell Automation, Inc.",Specialty Industrial Machinery,"4,054,000,128",A-
ITT,ITT Inc.,Specialty Industrial Machinery,"3,964,999,936",BBB
GTLS,"Chart Industries, Inc.",Specialty Industrial Machinery,"3,902,799,872",BB-
DOV,Dover Corporation,Specialty Industrial Machinery,"3,290,113,024",BBB+
PNR,Pentair plc,Specialty Industrial Machinery,"2,081,600,000",BBB-
XYL,Xylem Inc.,Specialty Industrial Machinery,"2,060,999,936",BBB
NDSN,Nordson Corporation,Specialty Industrial Machinery,"1,973,748,992",BBB
IEX,IDEX Corporation,Specialty Industrial Machinery,"1,899,299,968",BBB
FLS,Flowserve Corporation,Specialty Industrial Machinery,"1,890,324,992",BBB-
GNRC,Generac Holdings Inc.,Specialty Industrial Machinery,"1,393,465,984",BB+
NPO,Enpro Inc.,Specialty Industrial Machinery,"617,800,000",BB
MWA,"Mueller Water Products, Inc.",Specialty Industrial Machinery,"452,400,000",BB+
TNC,Tennant Company,Specialty Industrial Machinery,"392,500,000",BB
ANCTF,Alimentation Couche-Tard Inc.,Specialty Retail,"9,043,399,680",BBB+
DKS,"DICK'S Sporting Goods, Inc.",Specialty Retail,"7,789,426,176",BBB
TSCO,Tractor Supply Company,Specialty Retail,"6,408,778,240",BBB
BBY,"Best Buy Co., Inc.",Specialty Retail,"4,134,000,128",BBB+
RH,RH,Specialty Retail,"3,969,317,888",B
MTTRY,Ceconomy AG,Specialty Retail,"3,106,113,039",BB
MUSA,Murphy USA Inc.,Specialty Retail,"2,715,599,872",BB+
EYE,"National Vision Holdings, Inc.",Specialty Retail,"692,126,976",BB
DFRYF,Avolta AG,Specialty Retail,,BB+
BBWI,Bath & Body Works,Specialty Retail,,BB+
FIVE,"Five Below, Inc.",Specialty Retail,,B+
ASO,"Academy Sports and Outdoors, Inc.",Specialty Retail,,BB+
MAN,ManpowerGroup Inc.,Staffing & Employment Services,"1,538,899,968",BBB-
KFY,Korn Ferry,Staffing & Employment Services,"564,547,008",BB+
RANJY,Randstad N.V.,Staffing & Employment Services,,BBB+
AHEXY,Adecco Group,Staffing & Employment Services,,BBB
TNET,"TriNet Group, Inc.",Staffing & Employment Services,,BB
MT,ArcelorMittal S.A.,Steel,"13,683,000,320",BBB
CLF,Cleveland-Cliffs Inc.,Steel,"7,784,000,000",B+
STLD,"Steel Dynamics, Inc.",Steel,"4,200,793,088",BBB
RS,"Reliance, Inc.",Steel,"2,028,999,936",A-
BLSFF,BlueScope Steel Limited,Steel,"755,143,477",BBB-
VZ,Verizon Communications Inc.,Telecom Services,"200,921,006,080",BBB+
DTEGY,Deutsche Telekom AG,Telecom Services,"171,821,223,373",A-
T,AT&T Inc.,Telecom Services,"159,750,995,968",BBB
TMUS,"T-Mobile US, Inc.",Telecom Services,"122,134,003,712",BBB+
CHTR,"Charter Communications, Inc.",Telecom Services,"96,822,001,664",BB+
CMCSA,Comcast Corporation,Telecom Services,"94,611,996,672",A-
RCI,Rogers Communications Inc.,Telecom Services,"32,049,069,399",BBB-
BCE,BCE Inc.,Telecom Services,"30,730,710,927",BBB
TIGO,Millicom International Cellular S.A.,Telecom Services,"11,886,000,128",BB
TELNY,Telenor ASA,Telecom Services,"10,199,914,736",A-
LBTYA,Liberty Global Ltd.,Telecom Services,"9,375,599,616",BB-
SNGNF,Singapore Telecommunications Limited,Telecom Services,"9,065,131,108",A
BGAOY,Proximus PLC,Telecom Services,"5,878,892,810",BBB+
ZONNF,"NOS, S.G.P.S., S.A.",Telecom Services,"1,819,088,803",BBB
ELMUF,Elisa Oyj,Telecom Services,"1,801,499,506",BBB+
SPKKY,Spark New Zealand Limited,Telecom Services,"1,340,891,995",A-
CHT,"Chunghwa Telecom Co., Ltd.",Telecom Services,"1,256,925,345",AA
TDS,"Telephone and Data Systems, Inc.",Telecom Services,"1,254,931,968",BBB-
HLTOY,Hellenic Telecommunications Organization S.A.,Telecom Services,"1,221,337,941",A-
PM,Philip Morris International Inc.,Tobacco,"51,975,000,064",A-
BTI,British American Tobacco p.l.c.,Tobacco,"46,854,335,566",BBB+
MO,"Altria Group, Inc.",Tobacco,"24,601,999,360",BBB+
IMBBY,Imperial Brands PLC,Tobacco,"15,006,212,711",BBB
JAPAF,Japan Tobacco Inc.,Tobacco,"12,379,573,865",A
UVV,Universal Corporation,Tobacco,"939,822,016",BBB-
SWK,"Stanley Black & Decker, Inc.",Tools & Accessories,"6,966,499,840",BBB+
TKR,The Timken Company,Tools & Accessories,"2,203,200,000",BBB-
LECO,"Lincoln Electric Holdings, Inc.",Tools & Accessories,"1,364,840,960",AA
SNA,Snap-on Incorporated,Tools & Accessories,"1,300,199,936",A-
TTC,The Toro Company,Tools & Accessories,"1,136,999,936",BBB
KMT,Kennametal Inc.,Tools & Accessories,"659,568,000",BBB
RCL,Royal Caribbean Cruises Ltd.,Travel Services,"21,792,000,000",BBB
NCLH,Norwegian Cruise Line Holdings Ltd.,Travel Services,"16,082,653,184",B+
TUIFF,TUI AG,Travel Services,"5,157,785,377",BB-
EXPE,"Expedia Group, Inc.",Travel Services,"4,710,000,128",BBB
CCL,Carnival Corporation,Travel Services,,BBB-
BKNG,Booking Holdings Inc.,Travel Services,,A-
TNL,Travel + Leisure Co,Travel Services,,BB-
VIK,Viking Holdings,Travel Services,,BB+
ABNB,"Airbnb, Inc.",Travel Services,,A-
GBTG,Global Business Travel Group,Travel Services,,BB-
TRIP,"Tripadvisor, Inc.",Travel Services,,BB-
LIND,"Lindblad Expeditions Holdings, Inc.",Travel Services,,B+
EONGY,E.ON SE,Utilities - Diversified,"49,883,508,133",BBB+
SRE,Sempra,Utilities - Diversified,"36,432,998,400",BBB+
AES,The AES Corporation,Utilities - Diversified,"31,804,000,256",BBB-
RWEOY,RWE Aktiengesellschaft,Utilities - Diversified,"28,297,578,134",BBB-
CHUEF,"Chubu Electric Power Company, Incorporated",Utilities - Diversified,"18,283,804,673",AA+
AQN,Algonquin Power & Utilities Corp.,Utilities - Diversified,"6,716,899,840",BBB
NRG,"NRG Energy, Inc.",Utilities - Independent Power Producers,"23,357,999,104",BBB-
TAC,TransAlta Corporation,Utilities - Independent Power Producers,"3,192,531,846",BB+
CEG,Constellation Energy Generation LLC,Utilities - Independent Power Producers,,BBB+
VST,Vistra Corp.,Utilities - Independent Power Producers,,BBB-
TLN,"Talen Energy Supply, LLC",Utilities - Independent Power Producers,,BB-
NEE,"NextEra Energy, Inc.",Utilities - Regulated Electric,"104,403,001,344",A-
DUK,Duke Energy Corporation,Utilities - Regulated Electric,"91,208,998,912",BBB+
SO,The Southern Company,Utilities - Regulated Electric,"76,004,999,168",BBB+
NGG,National Grid plc,Utilities - Regulated Electric,"63,734,989,954",BBB+
PCG,PG&E Corporation,Utilities - Regulated Electric,"62,940,999,680",BB+
D,"Dominion Energy, Inc.",Utilities - Regulated Electric,"52,214,001,664",BBB+
AEP,"American Electric Power Company, Inc.",Utilities - Regulated Electric,"51,808,002,048",BBB+
EXC,Exelon Corporation,Utilities - Regulated Electric,"51,241,000,960",A-
EIX,Edison International,Utilities - Regulated Electric,"42,696,998,912",BBB-
XEL,Xcel Energy Inc.,Utilities - Regulated Electric,"39,243,001,856",BBB+
ETR,Entergy Corporation,Utilities - Regulated Electric,"34,058,442,752",BBB+
ES,Eversource Energy,Utilities - Regulated Electric,"30,339,694,592",BBB+
ED,"Consolidated Edison, Inc.",Utilities - Regulated Electric,"27,177,000,960",B-
DTE,DTE Energy Company,Utilities - Regulated Electric,"26,972,000,256",BBB
CNP,"CenterPoint Energy, Inc.",Utilities - Regulated Electric,"24,682,999,808",BBB
PEG,Public Service Enterprise Group Incorporated,Utilities - Regulated Electric,"24,398,999,552",BBB+
WEC,"WEC Energy Group, Inc.",Utilities - Regulated Electric,"22,317,799,424",A-
AEE,Ameren Corporation,Utilities - Regulated Electric,"21,304,000,512",BBB+
PPL,PPL Corporation,Utilities - Regulated Electric,"20,292,999,168",A-
CMS,CMS Energy Corporation,Utilities - Regulated Electric,"19,081,000,960",BBB+
TEZNY,Terna S.p.A.,Utilities - Regulated Electric,"17,849,019,657",A-
PNW,Pinnacle West Capital Corporation,Utilities - Regulated Electric,"15,143,285,760",BBB
CMS-PB,Consumers Energy Company,Utilities - Regulated Electric,"13,761,000,448",A-
ELEZY,"Endesa, S.A.",Utilities - Regulated Electric,"13,348,328,128",BBB+
LNT,Alliant Energy Corporation,Utilities - Regulated Electric,"11,840,000,000",BBB+
CLPHY,CLP Holdings Limited,Utilities - Regulated Electric,"8,047,495,518",A
OGE,OGE Energy Corp.,Utilities - Regulated Electric,"5,862,000,128",BBB+
POR,Portland General Electric Company,Utilities - Regulated Electric,"5,336,999,936",BBB+
IDA,"IDACORP, Inc.",Utilities - Regulated Electric,"4,009,299,968",BBB
NWE,"NorthWestern Energy Group, Inc.",Utilities - Regulated Electric,"3,442,790,912",BBB
HE,"Hawaiian Electric Industries, Inc.",Utilities - Regulated Electric,"2,946,522,880",B+
NI,NiSource Inc.,Utilities - Regulated Gas,"16,806,800,384",BBB+
ATO,Atmos Energy Corporation,Utilities - Regulated Gas,"9,629,233,152",A-
UGI,UGI Corporation,Utilities - Regulated Gas,"7,040,999,936",BBB
BKH,Black Hills Corporation,Utilities - Regulated Gas,"4,654,700,032",BBB+
SWX,"Southwest Gas Holdings, Inc.",Utilities - Regulated Gas,"3,508,929,024",BBB+
OGS,"ONE Gas, Inc.",Utilities - Regulated Gas,"3,381,221,888",A-
NWN,Northwest Natural Holding Company,Utilities - Regulated Gas,"2,682,576,896",A-
AWK,"American Water Works Company, Inc.",Utilities - Regulated Water,"15,708,999,680",A
UUGRY,United Utilities Group PLC,Utilities - Regulated Water,"15,351,708,228",BBB+
CWAFF,China Water Affairs Group Limited,Utilities - Regulated Water,"3,303,787,908",BB+
AWAEF,SIIC Environment Holdings Ltd.,Utilities - Regulated Water,"3,203,726,283",BBB-
WTRG,"Essential Utilities, Inc.",Utilities - Regulated Water,,A-
BEP,Brookfield Renewable Partners L.P.,Utilities - Renewable,"37,394,001,920",BBB+
TEPCY,"Tohoku Electric Power Company, Incorporated",Utilities - Renewable,"19,346,519,791",A-
FOJCY,Fortum Oyj,Utilities - Renewable,"4,625,144,146",BBB+
OEZVY,VERBUND AG,Utilities - Renewable,,A
AXIA,AXIA Energia S.A.,Utilities - Renewable,,BB
WM,"Waste Management, Inc.",Waste Management,"22,890,999,808",A-
RSG,"Republic Services, Inc.",Waste Management,"14,087,000,064",A-
WCN,"Waste Connections, Inc.",Waste Management,"9,435,247,616",A-
CLH,"Clean Harbors, Inc.",Waste Management,"3,232,133,120",BB+
CWST,"Casella Waste Systems, Inc.",Waste Management,"1,242,125,056",BB
